target,samples,rmse,mae,r2
CEC,60,2.756079469558433,1.6902909499889025,0.2132462622282728
Ca,60,454.5844135766238,178.8209671575226,-0.057460286890751666
K,60,61.809082748561806,46.440128960194336,-0.08398465862704851
Mg,60,135.07653746127315,102.40987918138771,0.5985398915295912
Na,60,48.53381147980027,39.79827228255124,0.6518866674369492
SRLime,60,827.4038039328724,553.5387097904186,0.029594167387097747
pH,60,0.39115291078167613,0.20503441116554147,0.03199486806924623
pct_Ca,60,8.40108486002977,5.99512021721936,0.5117375233479038
pct_K,60,3.0528931174321268,2.4174290021621734,0.25970772447497315
pct_Mg,60,7.641801742910272,5.69969221977859,0.5649407047677548
pct_Na,60,1.8778453426292894,1.441021076259267,0.5750388095663708
