target,n_features,rmse,mae,r2,features
pH,15,0.4072065629644036,0.23497923516996821,0.16878675712387436,"A00,A18,A30,A50,A39,A52,A24,A04,A44,A54,A35,A20,A22,A13,A53"
CEC,15,2.8605477494099105,1.8724830782240718,0.3052547133904099,"A00,A44,A52,A24,A09,A30,A50,A39,A33,A18,A51,A13,A53,A04,A35"
ESP,15,1.95967416751402,1.5879605803800663,0.513204259516632,"A51,A35,A09,A58,A05,A44,A31,A59,A56,A13,A23,A60,A27,A01,A42"
