target,n_features,rmse,mae,r2
pH,5,0.4115002779748503,0.246749754988629,0.1511651891069613
pH,8,0.4149835313477892,0.24310483107820222,0.1367339928643031
pH,10,0.4231220974988458,0.2555164165312542,0.10254159398602569
pH,12,0.40983957701138296,0.23571062523385744,0.15800268771212123
pH,15,0.4072065629644036,0.23497923516996821,0.16878675712387436
pH,20,0.41558932434470597,0.2470661925117751,0.13421176163843584
pH,30,0.4149067950276817,0.24714493509651958,0.13705322351778826
pH,40,0.42569347080915687,0.25872512128618036,0.09160048399071385
pH,64,0.4264090152863197,0.2622628041511572,0.08854407560648792
CEC,5,2.94513393922806,1.8727342899525221,0.2635601059403162
CEC,8,2.9622865539953542,1.9850917696837644,0.25495699694757057
CEC,10,2.8610384899649968,1.8878550505062226,0.3050163192349016
CEC,12,2.9222411489252313,1.9149323439252548,0.2749644362794871
CEC,15,2.8605477494099105,1.8724830782240718,0.3052547133904099
CEC,20,2.875989915102494,1.8893091780897502,0.2977335458449749
CEC,30,2.96676028365258,2.017758423372167,0.25270492726757476
CEC,40,2.9872814303630175,2.006391300464022,0.2423310595892595
CEC,64,3.0509074809177887,2.0859999969500853,0.20971219285843756
ESP,5,2.126010154880145,1.7043931682846973,0.42705926205909794
ESP,8,2.00640687000484,1.6304364075637672,0.48971001339311737
ESP,10,1.9867232728732627,1.603626024561804,0.4996731702177849
ESP,12,1.976289598436492,1.6003027114689639,0.5049145037633249
ESP,15,1.95967416751402,1.5879605803800663,0.513204259516632
ESP,20,1.987969889208551,1.6320951513103819,0.4990450895081725
ESP,30,2.0428781927188395,1.6605524178633941,0.4709898817008682
ESP,40,2.054957545645728,1.6496276896097808,0.46471540877002293
ESP,64,2.1114679790922146,1.7386752184203278,0.4348704285424031
