dataset,target,feature_set,cv,rmse,mae,r2,n_features,n_samples,n_groups
1x1,pH,all_64,loocv,0.41264921608646804,0.23948248624801635,-0.07732459741015574,64,60,
1x1,pH,all_64,3fold,0.4166312752282737,0.25022889497545037,-0.09821725475767096,64,60,
1x1,pH,all_64,leave_one_paddock_out,0.4291120630245269,0.26187252815564477,-0.16500012979656908,64,60,2.0
1x1,pH,best_bands,loocv,0.3900376601728144,0.21611167379220325,0.03750692873285255,10,60,
1x1,pH,best_bands,3fold,0.39279108742809843,0.22060556093851727,0.02386973847014595,10,60,
1x1,pH,best_bands,leave_one_paddock_out,0.44402534888818224,0.28759501735369375,-0.2473836730528609,10,60,2.0
1x1,CEC,all_64,loocv,2.9606750055170536,1.9194999706347782,0.09210250556960775,64,60,
1x1,CEC,all_64,3fold,2.8780723569701685,1.8621111071374685,0.14205635950681483,64,60,
1x1,CEC,all_64,leave_one_paddock_out,3.2550214167862146,2.505716643770536,-0.09739516828495964,64,60,2.0
1x1,CEC,best_bands,loocv,2.8083985761498895,1.7547083394527436,0.1830925979320065,20,60,
1x1,CEC,best_bands,3fold,2.754173615230458,1.7178333072132534,0.2143339809208159,20,60,
1x1,CEC,best_bands,leave_one_paddock_out,3.0547253948945254,2.2368416752020517,0.033504817550251476,20,60,2.0
1x1,ESP,all_64,loocv,2.011852246836071,1.5825638199051224,0.5131832108919461,64,60,
1x1,ESP,all_64,3fold,2.143921851656103,1.7454039545257887,0.44717040497807425,64,60,
1x1,ESP,all_64,leave_one_paddock_out,3.155205273479073,2.7470604599664608,-0.1973706846160952,64,60,2.0
1x1,ESP,best_bands,loocv,1.9124032250041332,1.51553177865843,0.5601219231902551,20,60,
1x1,ESP,best_bands,3fold,1.9479428327406922,1.5359981111619208,0.5436208476959314,20,60,
1x1,ESP,best_bands,leave_one_paddock_out,2.526244195985442,2.1558507525871202,0.23241931068831378,20,60,2.0
3x3,pH,all_64,loocv,0.40790195487297887,0.2389874905745188,-0.052679341875422114,64,60,
3x3,pH,all_64,3fold,0.41268487308584323,0.24636555443869693,-0.0775107885898898,64,60,
3x3,pH,all_64,leave_one_paddock_out,0.42444421329894777,0.27266834346453345,-0.13979241055100688,64,60,2.0
3x3,pH,best_bands,loocv,0.4077277466120206,0.23043748958905536,-0.051780369586408526,10,60,
3x3,pH,best_bands,3fold,0.400760623303013,0.22200220833884346,-0.01614249452658778,10,60,
3x3,pH,best_bands,leave_one_paddock_out,0.3980390720564936,0.2267024851242701,-0.0023881805512060428,10,60,2.0
3x3,CEC,all_64,loocv,2.9124686000715405,1.8558666445811591,0.1214270120628218,64,60,
3x3,CEC,all_64,3fold,2.9617432406144633,1.9328111152648926,0.09144723409872724,64,60,
3x3,CEC,all_64,leave_one_paddock_out,3.263619277281059,2.504083304405212,-0.10320017572321394,64,60,2.0
3x3,CEC,best_bands,loocv,2.7437452675341176,1.6803833107550938,0.22027237717434978,20,60,
3x3,CEC,best_bands,3fold,2.7364260979091064,1.6952333325280087,0.224426805725505,20,60,
3x3,CEC,best_bands,leave_one_paddock_out,2.9729628091737266,2.18892497464021,0.08455070278347887,20,60,2.0
3x3,ESP,all_64,loocv,2.0104049343325965,1.6111419473737478,0.5138833841709138,64,60,
3x3,ESP,all_64,3fold,2.140687122709874,1.7823650422294937,0.44883735458420526,64,60,
3x3,ESP,all_64,leave_one_paddock_out,3.256849725510452,2.8181873074670634,-0.27575953594281644,64,60,2.0
3x3,ESP,best_bands,loocv,1.9156789891609265,1.5133284554580848,0.5586136942643276,20,60,
3x3,ESP,best_bands,3fold,1.9316057879812867,1.5449177767501936,0.5512438856273019,20,60,
3x3,ESP,best_bands,leave_one_paddock_out,2.4246109525788184,2.09767317998906,0.2929379825092513,20,60,2.0
