feature,rank
A05,1
A08,1
A19,1
A23,1
A35,1
A39,1
A51,1
A53,1
A57,1
A60,1
A52,2
A50,3
A58,4
A12,5
A24,6
A09,7
A43,8
A59,9
A13,10
A34,11
A38,12
A21,13
A46,14
A10,15
A54,16
A63,17
A20,18
A11,19
A00,20
A18,21
A36,22
A42,23
A44,24
A31,25
A27,26
A30,27
A25,28
A33,29
A56,30
A26,31
A17,32
A48,33
A15,34
A28,35
A06,36
A03,37
A32,38
A14,39
A49,40
A62,41
A29,42
A55,43
A37,44
A16,45
A61,46
A41,47
A47,48
A01,49
A04,50
A45,51
A40,52
A02,53
A22,54
A07,55
