target,rmse,mae,r2,rmse_bias_corrected,mae_bias_corrected,r2_bias_corrected,n_features,n_samples,bias_method
pH,0.3908055828530078,0.22689903362937597,0.23439557597854432,0.3874890112439876,0.225671679713424,0.2473350406315904,10,69,paddock_mean_from_loocv
CEC,2.751189263961687,1.880468557813893,0.3573594257765139,2.7150364387652304,1.8161095613110019,0.37413807547910627,12,69,paddock_mean_from_loocv
ESP,1.8957507709196275,1.517125314888747,0.544444267015157,1.8819780400101624,1.5009315761300925,0.5510394959365934,12,69,paddock_mean_from_loocv
