target,paddock,mean_error,n_points
pH,400,-0.12468520341096095,9
pH,HILLPDK,0.022891907595624816,33
pH,LIGHTNING_TREE,0.029159277456778016,27
CEC,400,-0.9893332537898311,9
CEC,HILLPDK,0.17535351921813652,33
CEC,LIGHTNING_TREE,0.08498763726081379,27
ESP,400,-0.32550149425312314,9
ESP,HILLPDK,0.14018485346827841,33
ESP,LIGHTNING_TREE,-0.0681886243378675,27
