target,n_features,rmse,mae,r2
pH,5,0.39947002252669817,0.242085030136477,0.20007125343665044
pH,8,0.3972014109018735,0.2257787453379608,0.20913113069269074
pH,10,0.3908055828530078,0.22689903362937597,0.23439557597854432
pH,12,0.39254644732215804,0.22462077173057957,0.22755953195779732
pH,15,0.3979596402185527,0.22803237871271395,0.206108823621024
pH,20,0.4036632797387742,0.23237488808839216,0.1831893250749268
pH,30,0.4186663005817004,0.24370097736229643,0.12134390535598671
pH,40,0.42103962087203023,0.2521425210335405,0.11135388245339184
pH,64,0.43150573002008374,0.2648130487819801,0.06662524528294811
CEC,5,2.9488246375439844,1.9745651883894693,0.2617132082770116
CEC,8,2.8247764352650986,1.9432366808370694,0.32252173112087834
CEC,10,2.8298815393729275,1.9538115713561794,0.3200707602465349
CEC,12,2.751189263961687,1.880468557813893,0.3573594257765139
CEC,15,2.858700612050251,1.9159999564304442,0.3061516574432539
CEC,20,2.880822760805076,1.9482270113627114,0.29537136994918356
CEC,30,2.9188465402331616,1.985652162395238,0.2766479267056342
CEC,40,2.960117292638262,1.970623145679345,0.25604777679154034
CEC,64,3.097434944574771,2.143671471139659,0.18542403194307522
ESP,5,2.1432164401942595,1.7220146305175221,0.41774785398345415
ESP,8,1.9620546771824166,1.5507316431446352,0.5120208731923844
ESP,10,1.9417592327077458,1.544084298734504,0.5220639482396898
ESP,12,1.8957507709196275,1.517125314888747,0.544444267015157
ESP,15,1.9222412280903962,1.553690579490385,0.5316238101672398
ESP,20,1.9281221834609334,1.5444951882281739,0.5287535012561876
ESP,30,2.005527125122033,1.6142843612351854,0.49015740678235153
ESP,40,2.038807547157362,1.6518029187842844,0.4730959957601627
ESP,64,2.15661630856347,1.7622469310512863,0.4104443523762924
