target,feature_set,rmse,mae,r2,n_features
pH,all_64,0.42883411264435556,0.26530048309178766,0.0781471878212423,64
pH,best_bands,0.3897712131688756,0.22624927536231887,0.23844292628090635,10
CEC,all_64,3.0360748064357286,2.082101449275362,0.21737785698685963,64
CEC,best_bands,2.749333365254407,1.885135265700483,0.35822617456219263,12
ESP,all_64,2.1169554003202173,1.728496805517952,0.43192923262724514,64
ESP,best_bands,1.8920330930024876,1.509269695201445,0.5462292678047189,12
